Species Latin Name,Species Index,Species Common Name,Order,N,Female,Number of Tissue Types,Mean of Age,SD of Age,Minimum of Age,Maximum of Age,Gestation (yrs),Averaged Sexual Maturity (yrs),Maximum Lifespan (yrs),Weight (gram),Marsupial species,Tissue type
Tupaia gracilis,17.1.2,Slender treeshrew,Scandentia,2,100%,1,0.4,0.14,0.3,0.5,0.129,0.31,11.86,164.1,no,Ear
Tupaia longipes,17.1.3,Long-footed treeshrew,Scandentia,12,42%,3,1.51,0.69,0.8,3,0.129,0.31,12,164.1,no,Ear;Liver;Muscle
Tupaia tana,17.1.4,Large treeshrew,Scandentia,29,38%,3,1.86,0.67,1,3,0.129,0.31,11.6,197.8,no,Ear;Kidney;Liver
Tursiops aduncus,4.13.9,Indo-Pacific bottlenose dolphin,Artiodactyla,44,34%,1,19.09,7.72,3,37,1,6.75,49,130000,no,Skin
Tursiops truncatus,4.13.6,Bottlenose dolphin,Artiodactyla,258,68%,2,19.74,12.69,0.57,57.87,1.03,8.93,67,200000,no,Blood;Skin
Ursus americanus,5.11.1,American black bear,Carnivora,1,100%,1,0.1,,0.1,0.1,0.192,3.5,34,154250,no,Blood
Varecia rubra,1.3.14,Red ruffed lemur,Primates,4,25%,2,12.14,16.26,0.38,34.85,0.268,1.72,37.5,3601.3,no,Blood;Skin
Varecia variegata,1.3.13,Black and white ruffed lemur,Primates,5,0%,2,13.18,15.5,0.86,39.39,0.268,1.72,39.4,3482.3,no,Blood;Skin
Vicugna pacos,4.2.1,Alpaca,Artiodactyla,5,60%,1,7.93,4.75,1.67,15,0.945,1.28,25.8,62000,no,Blood
Vulpes vulpes,5.1.5,Red fox,Carnivora,1,0%,1,0.33,,0.33,0.33,0.142,0.83,21.3,4131.7,no,Blood
Zalophus californianus,5.8.3,California sea lion,Carnivora,86,52%,2,7.85,8.72,0.01,32.24,0.71,4,35.7,180000,no,Blood;Skin
